year,question_number,word_count,difficulty_estimate,reasoning_tags,preview
2003,5,38,1.5,,"When the base composition of DNA from bacterium Mycobacterium tuberculosis was determined, 18% of the bases were found to be adenine. What i"
2004,17,20,1.5,,The species Homo sapiens first appeared in which geologic epoch?
2004,36,27,1.5,,The most phytoplankton in a lake would be found in which zone?
2004,43,52,1.5,,Which of the following statements is an acceptable statement about growth in plants?
2005,1,77,1.5,,"The production of the genetically engineered ""golden rice"" could be important to the people of developing nations, especially in South-East "
2005,7,83,2.2,Negation trap,The main explanation for the lack of a continuing abiotic origin of life on Earth today is that:
2005,29,56,1.5,,Group hunting can favorably influence the ability to obtain different food resources and the efficiency of a capture as a result of:
2005,34,93,2.2,Negation trap,A comparison of the energy expenditures (kcal/kg/day) for a penguin and for a python (assuming they are of equal size) would show that:
2006,2,42,1.9,Calculation / quantitative,Isolated RNA molecules are generally less stable than DNA at physiological pH because:
2006,9,61,1.8,Negation trap,"As the number of (+) and (-) ions in the amoeba and in the ECE are not equal, one might assume that:"
2006,24,118,1.9,,"If a mouse is exposed to cycles of 12 hours of light followed by 12 hours of dark, the mouse is mostly active in the dark and has a rest-act"
2006,27,70,1.8,Negation trap,The anatomy of an animal from a cold climate differs from that of an animal from the tropics in that:
2006,29,37,1.8,Negation trap,Which of the following does NOT describe synovial joints?
2006,35,25,1.8,Negation trap,Which of the following is NOT required by nitrogen-fixing organisms for growth?
2006,41,35,1.5,,Cattle trample and kill small plants surrounding a water hole as they stand near it to drink water. This is an example of:
2006,45,48,1.5,,"When Darwin covered the tip of an oat coleoptile with foil and then illuminated it from one side, the coleoptile:"
2007,1,84,1.9,,"The production of the genetically engineered “golden rice” could be important to people of developing nations, especially in South-East Asia"
2007,15,59,1.5,,Group hunting can favorably influence the ability of an animal to obtain different food resources and the likelihood of a capture as a resul
2007,18,97,2.2,Negation trap,A comparison of the energy expenditures in their native habitats (kcal/kg/day) for a penguin and for a python (assuming they are of equal si
2007,47,91,2.2,Negation trap,"Of the following, which is the most significant explanation for the lack of a continuing abiotic origin of life of Earth today?"
2008,8,94,1.9,,Your parents built a tree house for you when you were 8 years old and 4 feet tall. They placed the tree house on a branch of a tree that was
2008,9,44,1.5,,"When they encounter a predator, small fish form schools that look like balls, thereby:"
2008,10,60,1.5,,The inspiratory phase of mammal respiration is characterized by:
2008,27,147,3.0,Negation trap|Data/figure/table reasoning,A farmer has three bulls. One day one of his prize cows entered her estrous cycle and somehow managed to get into the pasture with the bulls
